"TID","fare_amount"
"AJX000119871",10.35755237
"AJX000119872",10.93359118
"AJX000119873",10.84849462
"AJX000119874",13.22089911
"AJX000119875",11.84668839
"AJX000119876",10.96540621
"AJX000119877",10.8416048
"AJX000119878",10.2503476
"AJX000119879",10.87064915
"AJX000119880",10.86438829
"AJX000119881",11.41055213
"AJX000119882",22.21139915
"AJX000119883",14.39625353
"AJX000119884",11.63216002
"AJX000119885",23.64935002
"AJX000119886",25.46409599
"AJX000119887",61.70490805
"AJX000119888",35.2494998
"AJX000119889",12.5928979
"AJX000119890",14.898626
"AJX000119891",10.8138021
"AJX000119892",11.13587705
"AJX000119893",12.72916024
"AJX000119894",13.52762363
"AJX000119895",33.13590521
"AJX000119896",23.25726931
"AJX000119897",13.25185057
"AJX000119898",34.64913401
"AJX000119899",23.96775925
"AJX000119900",10.47484845
"AJX000119901",10.20678241
"AJX000119902",24.97779432
"AJX000119903",10.86438829
"AJX000119904",10.45328515
"AJX000119905",13.00037213
"AJX000119906",62.08242833
"AJX000119907",11.17590938
"AJX000119908",10.24413905
"AJX000119909",12.51066382
"AJX000119910",11.65484082
"AJX000119911",11.06099066
"AJX000119912",11.58226912
"AJX000119913",12.31064351
"AJX000119914",11.48410568
"AJX000119915",12.74920637
"AJX000119916",13.764667
"AJX000119917",11.19896636
"AJX000119918",13.76766005
"AJX000119919",14.39390228
"AJX000119920",22.13906014
"AJX000119921",9.975096548
"AJX000119922",12.21706472
"AJX000119923",11.12053489
"AJX000119924",30.08795477
"AJX000119925",10.70761081
"AJX000119926",10.91315292
"AJX000119927",13.89852955
"AJX000119928",23.80315257
"AJX000119929",12.40753823
"AJX000119930",10.50041491
"AJX000119931",11.29709668
"AJX000119932",10.36320736
"AJX000119933",10.39057762
"AJX000119934",10.67007516
"AJX000119935",10.35755237
"AJX000119936",22.14603195
"AJX000119937",16.90887647
"AJX000119938",13.1676333
"AJX000119939",13.96839703
"AJX000119940",11.20786077
"AJX000119941",13.78446435
"AJX000119942",13.97850802
"AJX000119943",11.2132896
"AJX000119944",11.39375524
"AJX000119945",10.10699615
"AJX000119946",12.84110988
"AJX000119947",52.37578271
"AJX000119948",10.91315292
"AJX000119949",13.97850802
"AJX000119950",14.18693477
"AJX000119951",10.36129738
"AJX000119952",22.04649225
"AJX000119953",10.35755237
"AJX000119954",11.36529031
"AJX000119955",14.93859003
"AJX000119956",10.11991381
"AJX000119957",49.75851337
"AJX000119958",11.92078068
"AJX000119959",13.25007466
"AJX000119960",14.47055136
"AJX000119961",12.08317868
"AJX000119962",13.11208283
"AJX000119963",11.671674
"AJX000119964",11.17590938
"AJX000119965",15.12530334
"AJX000119966",14.5647637
"AJX000119967",12.74009004
"AJX000119968",10.41568882
"AJX000119969",11.4665919
"AJX000119970",11.671674
"AJX000119971",9.984965261
"AJX000119972",11.59090319
"AJX000119973",12.13796002
"AJX000119974",13.37265062
"AJX000119975",11.06426269
"AJX000119976",13.77173837
"AJX000119977",11.99561528
"AJX000119978",12.20276227
"AJX000119979",22.59219928
"AJX000119980",12.99957231
"AJX000119981",11.94209987
"AJX000119982",58.57912304
"AJX000119983",11.22236695
"AJX000119984",58.57741777
"AJX000119985",13.7789528
"AJX000119986",10.6028071
"AJX000119987",11.75997261
"AJX000119988",15.62572952
"AJX000119989",11.81478927
"AJX000119990",11.78299133
